City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Severo-Yeniseyskiy,BO,2022-04-28 02:35:35,-16.3667,-58.4,77.9,59,47,5.66
1,Severo-Yeniseyskiy,UZ,2022-04-28 02:35:35,40.4272,71.7189,63.32,72,72,2.3
2,Severo-Yeniseyskiy,NZ,2022-04-28 02:35:35,-46.1927,168.8643,54.48,64,65,2.77
3,Severo-Yeniseyskiy,AU,2022-04-28 02:35:36,-33.65,115.3333,62.69,60,80,13.94
4,Severo-Yeniseyskiy,US,2022-04-28 02:35:36,42.6001,-73.9662,39.16,64,17,3.0
5,Severo-Yeniseyskiy,EG,2022-04-28 02:31:41,31.2156,29.9553,57.74,66,0,2.44
6,Severo-Yeniseyskiy,RE,2022-04-28 02:35:37,-21.3585,55.7679,72.21,77,0,2.51
7,Severo-Yeniseyskiy,US,2022-04-28 02:35:37,34.6391,-120.4579,57.56,77,0,13.8
8,Severo-Yeniseyskiy,AU,2022-04-28 02:31:03,-28.7667,114.6,70.21,68,40,4.61
9,Severo-Yeniseyskiy,US,2022-04-28 02:35:38,19.7297,-155.09,80.28,85,100,8.05
10,Severo-Yeniseyskiy,GL,2022-04-28 02:35:38,72.7868,-56.1549,29.35,99,100,4.88
11,Severo-Yeniseyskiy,IS,2022-04-28 02:35:39,64.2539,-15.2082,42.51,81,100,1.88
12,Severo-Yeniseyskiy,PL,2022-04-28 02:35:39,51.7847,14.972,46.96,71,48,5.26
13,Severo-Yeniseyskiy,MU,2022-04-28 02:35:39,-20.0064,57.6608,73.38,81,3,4.54
14,Severo-Yeniseyskiy,TL,2022-04-28 02:35:40,-8.9266,125.4092,76.21,50,52,1.86
15,Severo-Yeniseyskiy,PF,2022-04-28 02:35:40,-9.8,-139.0333,79.16,76,17,21.63
16,Severo-Yeniseyskiy,PT,2022-04-28 02:35:40,38.5167,-28.7,63.91,95,100,28.54
17,Severo-Yeniseyskiy,CN,2022-04-28 02:35:41,26.25,105.9333,70.9,70,100,2.95
18,Severo-Yeniseyskiy,RU,2022-04-28 02:32:19,64.5667,143.2,22.3,72,100,5.75
19,Severo-Yeniseyskiy,CA,2022-04-28 02:35:41,69.4541,-133.0374,10.4,85,100,4.61
20,Severo-Yeniseyskiy,ZA,2022-04-28 02:35:42,-33.5906,26.891,60.48,66,0,7.27
21,Severo-Yeniseyskiy,CA,2022-04-28 02:35:42,68.2191,-135.0107,18.25,87,100,8.9
22,Severo-Yeniseyskiy,GL,2022-04-28 02:35:43,60.1432,-45.2371,37.85,94,100,10.09
23,Severo-Yeniseyskiy,AU,2022-04-28 02:31:47,-42.8794,147.3294,69.26,82,20,6.91
24,Severo-Yeniseyskiy,CN,2022-04-28 02:35:43,27.4327,120.6062,66.42,80,82,4.41
25,Severo-Yeniseyskiy,RU,2022-04-28 02:35:44,53.0452,158.6483,37.99,75,75,11.18
26,Severo-Yeniseyskiy,AR,2022-04-28 02:35:44,-38.5473,-58.7368,54.12,54,33,17.18
27,Severo-Yeniseyskiy,CA,2022-04-28 02:31:44,70.4692,-68.5914,-0.17,71,0,2.3
28,Severo-Yeniseyskiy,RU,2022-04-28 02:35:44,71.9167,114.0833,16.07,89,53,6.96
29,Severo-Yeniseyskiy,ID,2022-04-28 02:35:45,-3.8004,102.2655,82.85,72,90,1.99
30,Severo-Yeniseyskiy,RU,2022-04-28 02:35:45,59.7035,30.7861,32.88,70,46,4.29
31,Severo-Yeniseyskiy,RU,2022-04-28 02:35:46,54.4333,113.6,34.11,72,100,5.46
32,Severo-Yeniseyskiy,AR,2022-04-28 02:35:46,-54.8,-68.3,33.46,75,75,20.71
33,Severo-Yeniseyskiy,US,2022-04-28 02:35:46,22.0752,-159.319,80.58,84,40,12.66
